,Age,Gender,Technology_Usage_Hours,Social_Media_Usage_Hours,Gaming_Hours,Screen_Time_Hours,Mental_Health_Status,Stress_Level,Sleep_Hours,Physical_Activity_Hours,Support_Systems_Access,Work_Environment_Impact,Online_Support_Usage
1176,59,Male,4.32,5.77,3.07,11.74,Excellent,High,6.54,0.15,No,Negative,Yes
1177,22,Other,1.23,4.68,3.63,12.84,Excellent,Medium,7.46,0.27,No,Positive,Yes
1178,52,Female,5.58,5.36,1.66,2.34,Good,High,5.78,9.25,Yes,Positive,No
1179,57,Other,7.42,4.84,0.64,6.62,Excellent,Medium,7.21,8.02,Yes,Negative,No
1180,28,Male,9.29,3.36,4.66,14.63,Poor,Low,6.57,8.13,Yes,Negative,No
1181,35,Male,6.13,5.49,4.02,1.88,Poor,Low,5.38,0.13,No,Negative,No
1182,34,Male,1.72,6.01,2.66,4.7,Poor,Low,6.56,2.88,No,Neutral,Yes
1183,57,Female,6.09,3.98,3.49,14.39,Fair,Medium,7.66,7.36,Yes,Neutral,Yes
1184,53,Other,1.39,6.19,1.13,11.79,Poor,Low,5.26,5.22,No,Negative,Yes
1185,49,Male,9.68,6.46,0.55,10.24,Fair,High,7.84,7.59,Yes,Negative,Yes
1186,62,Male,11.37,6.16,3.59,3.68,Poor,High,7.79,8.25,Yes,Neutral,Yes
1187,28,Female,11.51,1.84,0.69,14.83,Excellent,Medium,4.45,0.74,No,Neutral,No
1188,18,Male,8.61,7.93,2.77,1.82,Excellent,Medium,5.82,5.87,No,Neutral,No
1189,58,Male,10.04,3.21,2.0,6.74,Good,Low,7.2,6.2,No,Neutral,No
1190,62,Male,2.92,5.91,1.48,9.26,Fair,Low,7.17,0.57,No,Negative,Yes
1191,29,Male,8.26,4.57,1.3,12.95,Excellent,High,4.56,0.19,Yes,Neutral,No
1192,52,Other,9.76,6.81,0.68,3.71,Fair,High,7.97,6.89,Yes,Neutral,Yes
1193,26,Other,5.46,2.11,2.44,14.03,Excellent,High,6.36,3.15,Yes,Positive,Yes
1194,38,Female,4.93,6.0,0.14,4.74,Excellent,Low,6.85,1.48,No,Neutral,No
1195,51,Female,3.33,2.42,3.86,11.72,Fair,Low,8.52,1.99,Yes,Positive,Yes
1196,25,Male,11.57,5.73,4.79,5.39,Poor,High,5.51,5.24,Yes,Negative,Yes
1197,33,Other,5.01,2.04,4.23,1.8,Poor,High,5.76,0.82,No,Negative,Yes
1198,58,Other,1.91,0.13,1.27,1.17,Good,Medium,5.73,5.04,No,Negative,Yes
1199,27,Other,4.77,7.2,3.25,1.9,Fair,Medium,6.57,5.77,No,Positive,No
1200,58,Male,5.45,5.04,4.48,6.36,Excellent,High,7.98,0.31,No,Positive,No
1201,31,Other,11.72,3.76,0.02,1.49,Fair,Low,4.37,2.72,No,Negative,Yes
1202,40,Male,8.35,0.02,1.74,14.06,Excellent,Low,8.56,7.86,No,Positive,No
1203,44,Other,3.01,3.44,0.88,6.39,Poor,High,5.8,9.67,No,Positive,No
1204,26,Other,1.2,2.36,2.4,12.74,Good,High,8.0,8.0,Yes,Negative,Yes
1205,42,Female,9.42,5.9,2.26,4.34,Good,High,5.8,4.35,No,Positive,Yes
1206,25,Female,2.52,1.47,2.64,5.97,Excellent,Medium,5.06,1.55,No,Neutral,Yes
1207,35,Male,10.81,4.26,4.35,9.0,Poor,Medium,7.37,3.07,No,Neutral,No
1208,20,Female,10.52,4.55,3.99,13.9,Fair,High,8.97,5.56,No,Positive,Yes
1209,41,Male,7.92,1.98,3.25,2.4,Good,Medium,6.02,8.34,Yes,Negative,Yes
1210,37,Male,6.88,1.9,3.36,12.99,Good,Low,5.9,9.15,Yes,Neutral,Yes
1211,26,Other,4.52,5.34,3.8,8.31,Fair,High,8.0,6.6,Yes,Neutral,Yes
1212,31,Male,7.5,2.92,0.44,13.56,Poor,Medium,6.75,5.65,Yes,Neutral,No
1213,23,Male,10.04,3.14,3.43,8.81,Fair,Medium,8.74,0.95,Yes,Neutral,Yes
1214,42,Male,1.75,2.05,0.15,8.69,Excellent,High,4.94,9.62,No,Negative,Yes
1215,41,Female,11.09,6.79,0.41,14.58,Fair,Low,8.68,0.82,Yes,Negative,No
1216,63,Other,4.87,6.74,4.94,10.99,Fair,Low,6.32,7.47,No,Positive,No
1217,31,Other,7.77,7.6,2.8,13.18,Good,Medium,8.58,6.7,Yes,Negative,No
1218,18,Other,8.22,1.78,3.9,13.93,Fair,High,6.84,3.86,No,Neutral,Yes
1219,37,Male,2.44,4.78,4.89,12.65,Fair,High,4.84,3.69,No,Negative,Yes
1220,42,Female,4.34,5.09,4.61,12.84,Fair,Medium,7.69,5.52,No,Positive,No
1221,55,Other,9.55,0.25,2.54,1.11,Fair,Medium,5.01,3.49,No,Neutral,Yes
1222,36,Male,2.98,6.7,0.99,11.61,Fair,Low,7.81,1.93,No,Negative,Yes
1223,46,Female,8.38,4.78,4.4,4.22,Excellent,Medium,7.96,9.35,Yes,Neutral,No
1224,62,Female,10.89,4.73,1.16,3.47,Fair,Medium,7.35,7.63,Yes,Positive,No
1225,36,Male,1.86,2.57,1.11,8.22,Fair,High,7.71,0.08,No,Negative,Yes
1226,43,Female,4.87,2.63,1.73,1.1,Excellent,Medium,7.01,5.35,No,Positive,No
1227,27,Female,4.89,6.33,1.31,2.4,Fair,High,8.45,0.79,Yes,Negative,Yes
1228,31,Other,3.37,0.93,1.13,5.44,Good,High,7.61,2.89,Yes,Neutral,Yes
1229,36,Female,4.26,3.79,1.82,13.17,Poor,Low,7.97,1.08,Yes,Positive,No
1230,49,Female,9.14,0.77,3.98,14.98,Poor,Medium,4.92,3.87,Yes,Neutral,Yes
1231,52,Female,8.53,2.59,0.46,10.58,Good,Medium,4.48,4.93,Yes,Neutral,Yes
1232,49,Male,5.86,4.84,0.7,6.21,Excellent,Medium,5.67,2.82,No,Neutral,No
1233,22,Male,7.4,4.1,2.05,9.83,Poor,High,6.5,3.64,Yes,Neutral,No
1234,54,Male,11.91,2.72,0.95,14.35,Poor,Medium,7.63,1.02,Yes,Positive,Yes
1235,31,Other,6.7,5.14,3.43,7.76,Fair,Medium,6.59,6.77,Yes,Negative,Yes
1236,32,Other,9.19,1.62,0.51,7.17,Good,Medium,8.72,1.71,No,Positive,No
1237,38,Male,4.05,0.19,1.91,1.41,Fair,Medium,8.46,0.91,Yes,Negative,Yes
1238,43,Female,2.6,4.74,2.17,12.08,Good,Low,8.65,3.52,Yes,Negative,No
1239,43,Other,6.07,6.28,3.39,14.42,Poor,Low,6.24,8.1,Yes,Negative,Yes
1240,43,Male,8.24,5.93,2.84,6.2,Good,Medium,5.5,3.81,No,Negative,No
1241,55,Other,6.84,3.39,4.51,1.14,Fair,Low,6.63,8.5,No,Neutral,Yes
1242,59,Female,4.66,3.15,1.79,1.84,Fair,Medium,4.21,7.26,No,Neutral,No
1243,22,Female,8.34,3.87,2.85,12.79,Fair,Medium,7.47,6.16,No,Positive,No
1244,35,Other,11.31,5.27,3.72,7.95,Fair,Medium,4.05,0.48,Yes,Negative,No
1245,30,Other,4.47,3.16,0.39,9.92,Poor,High,8.38,9.25,Yes,Negative,No
1246,43,Male,7.11,6.49,4.42,14.0,Good,Low,8.51,5.88,No,Positive,Yes
1247,58,Male,7.69,1.14,3.9,5.18,Fair,Medium,4.31,0.18,Yes,Neutral,Yes
1248,35,Other,5.73,4.13,1.87,5.64,Poor,Low,5.96,9.23,No,Neutral,Yes
1249,44,Other,6.69,3.29,3.51,13.67,Excellent,High,8.3,8.04,No,Negative,Yes
1250,45,Female,4.22,4.36,0.63,7.25,Fair,Low,8.58,0.36,Yes,Neutral,No
1251,46,Other,10.9,2.27,3.34,4.27,Poor,Low,5.71,3.4,No,Neutral,Yes
1252,63,Male,1.09,1.03,2.56,8.51,Excellent,Low,4.77,7.47,Yes,Neutral,No
1253,47,Male,3.28,3.69,0.95,8.05,Fair,Medium,7.08,5.73,No,Positive,No
1254,25,Other,4.72,1.45,3.13,11.84,Poor,Medium,7.73,8.61,No,Negative,No
1255,28,Male,3.53,6.46,3.58,3.54,Poor,Low,8.05,2.59,Yes,Neutral,Yes
1256,19,Other,6.25,1.33,1.1,4.87,Excellent,High,4.85,7.39,Yes,Neutral,No
1257,60,Other,5.42,2.46,3.37,9.72,Excellent,Low,4.45,5.64,Yes,Neutral,No
1258,65,Female,1.37,0.68,3.79,9.55,Good,High,4.73,4.47,Yes,Negative,No
1259,26,Other,8.34,1.09,3.71,8.43,Fair,Low,4.11,6.98,No,Neutral,No
1260,28,Other,5.45,7.08,3.95,14.55,Good,Low,6.49,7.16,Yes,Positive,No
1261,59,Male,6.07,0.64,2.18,10.46,Poor,High,5.58,0.52,Yes,Neutral,Yes
1262,21,Other,5.77,4.77,1.65,10.89,Fair,High,5.08,8.71,Yes,Positive,No
1263,20,Other,7.02,0.77,2.42,2.66,Good,Medium,8.91,6.32,No,Negative,Yes
1264,56,Male,5.31,0.63,2.74,14.06,Good,Low,4.05,2.29,No,Negative,Yes
1265,55,Other,2.97,5.32,2.72,10.04,Poor,Low,6.48,2.65,Yes,Positive,Yes
1266,20,Male,11.25,5.44,3.41,13.6,Excellent,Medium,8.43,6.77,No,Neutral,No
1267,33,Other,11.57,2.92,1.31,7.85,Poor,Medium,5.84,2.19,Yes,Neutral,Yes
1268,61,Female,7.34,3.95,0.32,14.26,Fair,Low,4.19,7.6,Yes,Negative,Yes
1269,34,Female,9.03,5.31,3.51,11.68,Excellent,Low,5.58,6.63,No,Neutral,No
1270,25,Female,3.58,5.48,1.21,10.74,Good,High,5.8,0.93,No,Positive,No
1271,32,Female,3.12,5.77,2.02,2.6,Good,High,7.23,5.58,Yes,Negative,Yes
1272,45,Male,9.87,1.86,1.46,5.26,Fair,High,5.79,8.96,Yes,Positive,Yes
1273,35,Other,7.22,5.47,4.72,5.41,Poor,Low,8.92,9.99,No,Positive,No
1274,61,Female,10.06,6.93,2.09,1.73,Poor,High,8.63,2.56,Yes,Positive,Yes
1275,31,Male,6.96,2.39,2.68,12.3,Good,Medium,8.76,8.08,Yes,Positive,Yes
1276,51,Female,5.64,4.06,1.9,2.84,Poor,Low,6.34,3.97,Yes,Neutral,Yes
1277,34,Other,6.07,5.64,3.53,8.76,Poor,Medium,4.7,9.63,Yes,Positive,Yes
1278,41,Other,4.05,7.55,2.16,9.06,Good,High,7.53,9.16,Yes,Positive,Yes
1279,23,Female,5.48,0.62,2.72,9.27,Good,Low,8.82,8.84,Yes,Positive,Yes
1280,59,Other,5.62,2.22,1.96,11.29,Excellent,High,6.31,4.85,No,Negative,No
1281,65,Male,4.14,2.84,4.65,4.83,Fair,High,7.07,9.05,No,Positive,Yes
1282,63,Other,10.89,6.34,0.68,7.18,Poor,Low,4.07,1.17,No,Positive,No
1283,50,Other,11.65,3.6,3.75,12.59,Fair,High,4.7,3.59,Yes,Negative,Yes
1284,56,Male,7.12,5.71,0.44,14.02,Good,Medium,6.0,9.65,No,Negative,No
1285,56,Female,8.89,3.52,4.0,1.15,Fair,High,5.74,9.88,Yes,Negative,No
1286,28,Other,9.04,1.59,4.76,7.11,Fair,Medium,7.94,0.58,Yes,Positive,No
1287,59,Other,8.73,2.51,0.24,2.25,Fair,Medium,5.91,1.39,Yes,Negative,Yes
1288,47,Female,2.34,6.78,0.23,5.04,Fair,Medium,4.65,8.98,Yes,Positive,Yes
1289,56,Male,10.02,4.97,4.11,6.43,Excellent,Low,6.94,5.38,Yes,Positive,Yes
1290,61,Female,5.85,1.13,3.59,2.32,Poor,High,8.66,3.93,No,Positive,No
1291,20,Female,10.64,1.23,2.87,3.8,Fair,High,7.57,1.06,No,Neutral,Yes
1292,63,Male,5.94,3.38,1.78,3.9,Excellent,Low,8.27,8.25,No,Positive,No
1293,33,Male,2.72,3.03,4.63,3.86,Poor,Low,5.21,7.81,Yes,Negative,Yes
1294,19,Female,7.58,6.41,3.8,4.28,Poor,Low,6.24,9.02,Yes,Positive,Yes
1295,46,Other,4.92,2.54,4.41,1.74,Good,Low,4.58,0.64,No,Positive,No
1296,22,Male,2.03,2.4,3.65,8.13,Good,High,8.07,8.63,Yes,Positive,No
1297,53,Female,9.59,4.37,3.91,2.71,Excellent,Low,4.43,9.18,No,Positive,Yes
1298,35,Male,3.05,5.97,0.97,12.46,Poor,Low,7.65,8.9,Yes,Positive,No
1299,21,Male,7.96,2.87,2.61,14.39,Good,Low,7.0,5.91,Yes,Neutral,Yes
1300,62,Female,10.51,7.2,2.82,12.38,Good,Medium,5.42,6.46,Yes,Negative,Yes
1301,44,Female,11.39,0.44,1.64,7.61,Good,High,5.43,9.57,No,Neutral,Yes
1302,21,Other,10.83,7.19,4.94,11.91,Poor,High,4.29,5.25,Yes,Negative,No
1303,46,Female,8.57,6.49,0.65,8.26,Poor,Low,4.6,0.4,Yes,Positive,No
1304,40,Male,9.08,5.34,1.83,14.13,Good,Low,5.8,0.73,Yes,Negative,No
1305,57,Other,7.12,7.95,4.88,8.42,Poor,Low,7.13,5.3,No,Negative,No
1306,39,Other,5.23,1.29,1.04,8.53,Poor,High,8.05,8.7,Yes,Neutral,No
1307,40,Male,8.05,4.67,2.24,6.86,Good,Medium,8.28,7.67,Yes,Positive,Yes
1308,45,Other,3.77,0.59,2.45,10.58,Poor,Low,5.12,0.04,No,Positive,Yes
1309,52,Other,2.21,6.83,2.4,12.9,Fair,Low,8.59,0.27,Yes,Negative,No
1310,21,Male,4.84,5.02,3.68,11.47,Fair,Low,8.9,0.36,No,Negative,Yes
1311,47,Other,8.49,2.36,3.14,13.22,Fair,High,8.58,6.0,Yes,Negative,No
1312,39,Male,6.48,4.47,1.71,12.9,Excellent,Low,8.05,1.33,Yes,Positive,No
1313,50,Male,6.59,7.82,3.89,2.41,Fair,Medium,6.49,2.41,Yes,Neutral,No
1314,64,Male,2.29,5.33,1.03,3.66,Excellent,Medium,8.6,9.1,Yes,Positive,No
1315,26,Other,8.56,3.98,1.79,1.44,Poor,High,5.03,2.21,Yes,Negative,Yes
1316,54,Female,2.13,3.49,0.3,8.44,Fair,High,5.83,1.13,Yes,Neutral,Yes
1317,32,Female,3.7,7.82,1.83,2.35,Fair,Low,5.82,1.6,No,Negative,No
1318,26,Other,8.42,5.9,1.95,4.84,Fair,Medium,5.29,3.55,Yes,Negative,No
1319,52,Male,2.88,1.23,4.6,8.87,Excellent,High,7.18,9.17,Yes,Positive,Yes
1320,21,Female,2.96,0.65,0.18,13.64,Poor,Medium,6.56,4.21,No,Positive,Yes
1321,64,Male,4.63,1.84,4.12,1.25,Fair,Low,8.62,8.49,Yes,Negative,Yes
1322,64,Female,10.37,7.82,2.55,13.88,Fair,Medium,4.99,6.9,No,Negative,No
1323,20,Male,8.07,5.97,4.37,3.88,Excellent,High,5.62,2.97,No,Positive,Yes
1324,29,Female,4.78,2.09,2.67,12.31,Good,High,7.63,7.2,No,Positive,No
1325,29,Female,10.95,4.94,4.76,3.05,Excellent,Medium,5.07,5.86,Yes,Negative,Yes
1326,50,Other,10.72,0.67,1.81,5.83,Good,Low,8.79,3.49,No,Positive,No
1327,20,Other,1.87,4.95,3.09,6.41,Good,Medium,4.36,4.76,No,Negative,No
1328,25,Female,5.56,4.87,2.62,7.12,Fair,Medium,5.22,3.56,No,Neutral,No
1329,31,Other,3.46,1.05,3.91,5.18,Good,Medium,6.31,3.24,No,Negative,Yes
1330,47,Other,7.61,5.86,3.54,13.21,Good,High,5.64,0.16,No,Neutral,Yes
1331,54,Female,4.4,6.45,0.58,10.36,Good,Low,7.95,7.49,No,Negative,No
1332,65,Female,7.2,3.17,4.67,5.22,Fair,High,8.65,3.64,Yes,Neutral,No
1333,50,Male,7.63,1.81,2.01,5.83,Poor,High,4.57,6.78,No,Positive,Yes
1334,52,Male,4.81,1.97,1.01,5.91,Poor,Low,4.03,3.78,Yes,Neutral,No
1335,36,Female,11.52,4.05,2.65,4.42,Fair,High,8.15,3.87,No,Neutral,Yes
1336,64,Other,6.26,0.76,0.31,7.61,Good,High,8.5,0.94,No,Positive,No
1337,39,Male,4.04,4.51,4.98,9.71,Fair,Medium,4.11,1.08,No,Negative,No
1338,52,Male,4.05,2.46,2.55,3.51,Excellent,High,4.12,5.61,Yes,Negative,No
1339,64,Other,1.08,2.8,2.27,7.81,Poor,Low,6.71,9.67,No,Positive,No
1340,36,Female,10.16,3.63,1.44,7.68,Fair,Low,8.61,2.55,No,Negative,Yes
1341,46,Male,8.71,6.03,2.86,14.21,Excellent,Medium,8.85,5.4,No,Positive,No
1342,54,Female,3.11,2.63,2.95,3.27,Excellent,High,4.22,2.54,Yes,Negative,Yes
1343,33,Other,5.12,0.9,2.09,5.43,Excellent,Medium,6.36,9.22,Yes,Positive,Yes
1344,61,Female,11.5,5.16,4.63,13.63,Good,High,6.39,3.8,No,Negative,No
1345,44,Male,7.69,5.86,1.55,4.2,Poor,High,6.62,3.69,No,Neutral,No
1346,24,Female,3.91,5.87,4.78,6.67,Good,High,6.3,0.15,Yes,Positive,Yes
1347,49,Other,11.09,1.62,1.15,14.52,Good,Low,4.48,9.97,Yes,Positive,No
1348,24,Female,1.22,2.67,4.27,7.11,Good,Medium,6.08,3.73,Yes,Negative,Yes
1349,50,Male,10.05,2.62,0.07,13.41,Fair,Low,4.47,6.45,Yes,Negative,No
1350,39,Female,4.7,3.53,3.33,7.72,Excellent,High,5.38,7.34,Yes,Negative,Yes
1351,29,Male,2.88,5.78,2.83,10.72,Poor,Low,7.21,0.42,No,Negative,Yes
1352,24,Male,7.95,7.66,4.36,10.39,Poor,Medium,6.36,7.43,Yes,Positive,Yes
1353,48,Other,9.63,0.85,2.06,13.12,Good,High,7.1,7.13,No,Neutral,No
1354,38,Other,10.28,0.85,0.02,6.09,Fair,High,7.17,2.71,Yes,Positive,Yes
1355,22,Other,2.3,1.49,0.21,1.29,Excellent,Medium,6.22,8.29,Yes,Positive,No
1356,40,Male,1.36,5.82,3.41,9.07,Excellent,Low,5.31,1.4,Yes,Positive,Yes
1357,49,Other,11.43,3.64,1.84,13.91,Good,Low,5.82,1.83,No,Negative,No
1358,61,Other,2.6,4.4,4.05,4.5,Fair,High,6.24,2.18,Yes,Negative,Yes
1359,53,Female,5.09,7.69,0.3,13.91,Excellent,Low,6.08,1.32,No,Negative,No
1360,56,Other,8.24,6.38,3.17,1.58,Good,Low,8.17,5.15,Yes,Neutral,Yes
1361,21,Other,6.12,7.28,0.08,10.5,Good,High,5.82,6.65,Yes,Neutral,Yes
1362,19,Other,9.22,5.03,1.14,4.48,Good,High,7.4,7.96,Yes,Negative,Yes
1363,33,Female,8.4,6.17,0.24,14.08,Excellent,Low,4.63,9.48,No,Negative,No
1364,55,Male,6.26,0.2,4.59,11.97,Fair,Low,5.2,5.57,No,Negative,Yes
1365,56,Other,4.24,6.51,4.66,10.41,Good,Medium,4.99,1.46,Yes,Negative,Yes
1366,49,Male,5.2,6.1,0.79,12.91,Excellent,High,8.15,1.61,Yes,Positive,Yes
1367,41,Other,4.62,7.86,4.94,9.56,Poor,Low,7.38,2.0,No,Negative,Yes
1368,47,Female,8.2,0.53,4.77,6.16,Good,Medium,6.09,3.34,No,Positive,Yes
1369,36,Male,2.52,1.06,3.97,13.43,Good,Medium,8.93,6.85,No,Positive,No
1370,22,Other,5.79,5.18,2.68,12.85,Poor,Low,7.19,4.98,Yes,Positive,No
1371,27,Male,1.39,5.08,0.56,9.56,Good,High,8.42,1.34,No,Positive,No
1372,33,Female,7.14,5.95,3.57,3.29,Excellent,Low,6.06,1.7,No,Positive,No
1373,51,Male,10.9,4.65,3.61,4.52,Poor,High,6.22,0.7,No,Positive,Yes
1374,48,Male,3.19,2.63,3.95,1.96,Excellent,High,4.77,9.12,No,Positive,Yes
1375,32,Female,1.58,1.38,0.97,14.39,Good,Low,8.93,9.41,No,Neutral,Yes
1376,22,Male,2.76,4.85,0.57,6.46,Fair,Medium,7.6,9.78,Yes,Negative,Yes
1377,32,Other,6.13,7.68,1.07,9.55,Poor,Medium,4.65,4.99,Yes,Positive,No
1378,35,Female,1.09,1.87,3.43,8.12,Excellent,High,7.81,9.64,No,Neutral,Yes
1379,61,Male,7.81,2.1,0.33,12.82,Excellent,High,6.06,7.22,Yes,Positive,No
1380,54,Female,10.96,5.5,4.38,9.99,Excellent,High,8.48,2.68,No,Neutral,No
1381,26,Female,3.33,3.81,4.33,10.5,Poor,Low,7.54,8.64,No,Positive,Yes
1382,26,Male,5.17,2.16,3.96,8.07,Excellent,High,8.65,0.06,Yes,Positive,Yes
1383,62,Other,7.57,3.15,0.53,13.05,Good,High,5.78,8.28,No,Neutral,Yes
1384,45,Other,1.07,1.18,3.61,10.62,Excellent,High,4.09,1.13,No,Negative,Yes
1385,45,Male,6.23,5.26,1.94,9.04,Fair,Low,8.48,7.34,No,Positive,Yes
1386,37,Female,1.53,7.27,2.93,14.12,Excellent,High,4.92,1.81,Yes,Negative,Yes
1387,52,Female,7.31,7.77,2.55,8.4,Excellent,Medium,8.67,0.2,Yes,Negative,No
1388,40,Other,1.28,3.13,1.62,2.57,Fair,Low,5.28,4.94,Yes,Neutral,Yes
1389,60,Male,7.45,4.27,0.99,12.37,Poor,Medium,8.04,1.1,Yes,Neutral,Yes
1390,24,Male,9.2,4.53,2.78,2.3,Good,Medium,7.66,1.43,No,Negative,Yes
1391,62,Female,10.92,1.66,1.66,12.43,Poor,High,4.9,4.25,No,Negative,No
1392,53,Male,6.69,7.01,0.17,2.17,Good,Medium,8.08,0.87,No,Neutral,Yes
1393,20,Female,10.88,5.42,3.9,8.3,Poor,High,5.54,6.47,Yes,Positive,Yes
1394,39,Other,7.63,3.6,3.37,1.18,Poor,Medium,4.19,3.99,Yes,Positive,Yes
1395,55,Male,5.95,4.19,0.8,4.71,Poor,High,4.35,0.73,Yes,Neutral,Yes
1396,61,Male,5.09,5.58,2.53,13.03,Excellent,Low,5.99,3.29,No,Neutral,Yes
1397,47,Other,11.71,6.51,0.2,14.4,Poor,Low,4.53,7.79,Yes,Positive,No
1398,65,Other,5.21,7.39,4.14,8.9,Good,High,5.97,6.65,No,Positive,No
1399,25,Other,4.71,7.84,4.22,9.88,Poor,Medium,5.38,9.18,No,Positive,No
1400,53,Other,10.47,2.07,0.56,9.67,Excellent,Low,8.77,7.59,Yes,Negative,No
1401,52,Male,7.7,7.19,3.02,1.44,Good,Low,4.14,1.94,Yes,Negative,Yes
1402,65,Other,11.59,0.44,0.36,9.67,Poor,High,4.72,8.65,No,Neutral,Yes
1403,48,Other,2.91,6.97,4.29,11.53,Fair,High,4.51,1.45,No,Negative,No
1404,57,Other,8.79,1.11,4.41,14.79,Good,Medium,5.5,0.9,Yes,Positive,No
1405,64,Female,10.01,5.7,1.94,1.03,Fair,Low,5.67,9.95,No,Neutral,No
1406,65,Other,7.67,4.83,0.31,11.42,Poor,High,4.18,0.14,Yes,Negative,No
1407,59,Male,11.09,6.96,4.17,1.2,Poor,Medium,7.1,1.29,Yes,Negative,No
1408,40,Female,4.58,6.34,2.84,6.62,Poor,Low,8.49,1.6,No,Negative,No
1409,45,Other,5.5,3.13,1.14,12.66,Poor,Medium,8.39,7.77,Yes,Neutral,No
1410,64,Male,8.19,1.15,4.34,13.54,Fair,Medium,7.5,6.12,No,Positive,Yes
1411,57,Other,7.58,0.49,0.8,4.75,Good,Low,4.78,5.31,Yes,Negative,No
1412,28,Female,5.52,0.61,4.87,8.95,Excellent,High,7.04,0.99,Yes,Positive,No
1413,48,Female,8.7,2.59,4.18,4.62,Poor,Medium,4.74,6.5,No,Positive,No
1414,20,Female,8.65,1.32,3.68,7.82,Poor,Medium,8.99,7.64,Yes,Negative,Yes
1415,29,Female,3.31,4.6,4.43,14.89,Good,High,5.49,0.34,Yes,Neutral,No
1416,43,Male,1.12,0.16,4.39,5.94,Good,Medium,5.65,0.51,No,Neutral,Yes
1417,28,Other,1.47,1.46,0.23,2.77,Poor,High,7.81,1.86,No,Neutral,Yes
1418,38,Other,11.75,5.84,2.89,7.23,Poor,High,4.07,6.56,Yes,Negative,Yes
1419,43,Female,2.54,2.08,1.32,9.24,Fair,Low,5.42,5.48,Yes,Positive,No
1420,26,Female,6.59,0.39,0.35,7.15,Good,Medium,6.92,0.11,No,Neutral,Yes
1421,23,Female,5.17,5.66,4.09,14.43,Fair,Low,8.8,8.3,No,Neutral,No
1422,30,Other,8.33,5.26,2.53,13.61,Fair,Low,8.26,4.48,No,Positive,Yes
1423,54,Male,7.36,6.63,3.07,3.42,Excellent,Medium,8.03,9.89,Yes,Positive,Yes
1424,31,Other,3.96,4.73,1.78,1.15,Excellent,Low,6.78,2.44,No,Positive,No
1425,59,Other,11.1,7.75,4.6,4.63,Excellent,Low,6.63,6.95,No,Neutral,No
1426,48,Male,6.81,1.77,1.65,5.55,Fair,Medium,4.11,2.39,Yes,Positive,No
1427,18,Other,4.98,4.56,0.79,1.27,Poor,Low,7.49,6.77,No,Neutral,No
1428,44,Male,11.93,7.8,0.19,5.06,Excellent,Low,7.47,9.77,No,Positive,Yes
1429,62,Male,8.28,7.56,0.37,4.45,Poor,Low,7.53,7.6,Yes,Positive,No
1430,52,Other,5.24,2.42,1.1,9.76,Excellent,Medium,4.33,2.88,No,Negative,No
1431,51,Male,8.41,5.6,0.28,8.89,Poor,Low,7.21,6.71,Yes,Positive,No
1432,36,Male,7.81,1.24,1.72,3.89,Good,Medium,5.75,6.81,Yes,Positive,No
1433,29,Female,11.31,2.87,1.3,4.98,Fair,High,5.68,0.09,No,Positive,No
1434,36,Other,7.83,6.1,4.07,1.21,Good,Low,8.59,5.08,No,Negative,No
1435,28,Male,9.4,5.46,0.98,7.56,Fair,High,4.26,6.75,Yes,Neutral,No
1436,38,Female,6.01,5.88,4.64,3.48,Poor,High,8.66,2.25,Yes,Positive,No
1437,63,Male,11.89,1.09,3.94,11.08,Good,High,5.32,9.51,Yes,Negative,No
1438,57,Male,8.67,7.37,1.18,3.68,Good,Low,7.54,4.33,No,Positive,No
1439,53,Male,6.14,6.48,1.95,14.76,Good,High,8.43,5.79,Yes,Negative,No
1440,52,Other,10.47,1.22,0.28,14.7,Excellent,Low,8.82,0.14,No,Positive,Yes
1441,53,Other,3.89,7.95,2.34,14.59,Fair,Medium,8.01,5.81,No,Negative,No
1442,46,Male,5.38,5.35,0.94,2.36,Excellent,Low,4.47,8.51,No,Neutral,Yes
1443,60,Other,11.23,4.5,4.93,8.46,Fair,Medium,8.22,2.59,No,Neutral,No
1444,48,Female,11.06,0.46,2.83,11.89,Good,Low,8.3,0.81,No,Neutral,No
1445,27,Other,8.31,3.36,1.46,7.73,Good,Low,4.46,3.29,Yes,Positive,Yes
1446,47,Male,10.48,7.81,3.11,6.5,Excellent,Low,7.97,2.39,Yes,Negative,No
1447,35,Male,8.92,0.09,1.18,6.35,Poor,High,8.94,3.51,Yes,Neutral,No
1448,26,Female,8.8,1.15,4.85,10.23,Excellent,Low,5.82,3.33,No,Positive,No
1449,37,Female,4.21,3.17,2.77,2.37,Good,High,8.53,0.56,Yes,Negative,No
1450,27,Other,8.85,5.26,2.99,3.44,Excellent,Medium,8.54,8.58,No,Negative,No
1451,33,Other,5.03,1.74,3.98,8.5,Fair,Medium,8.45,4.71,Yes,Negative,No
1452,57,Other,8.9,1.65,0.64,12.2,Good,Low,4.09,0.82,Yes,Negative,No
1453,55,Female,2.08,6.93,0.16,14.44,Good,Medium,6.82,3.11,Yes,Neutral,Yes
1454,47,Male,1.85,5.0,0.83,11.17,Fair,Medium,4.43,5.09,Yes,Positive,No
1455,61,Other,5.34,7.5,0.62,5.49,Excellent,Low,8.1,1.04,Yes,Negative,Yes
1456,46,Female,8.95,1.78,3.28,7.23,Poor,Medium,7.67,1.91,No,Negative,No
